1699190170.275083 client started (48655): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1699190170.275126 on Darwin 22.6.0 Darwin Kernel Version 22.6.0: Fri Sep 15 13:39:52 PDT 2023; root:xnu-8796.141.3.700.8~1/RELEASE_X86_64
1699190170.276053 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1699190170.276153 flags are 0x10010000
1699190170.276189 socket is /private/tmp/tmux-501/default
1699190170.276210 trying connect
1699190170.276397 add peer 0x7f97ba831000: 6 (0x0)
1699190170.278670 sending message 100 to peer 0x7f97ba831000 (4 bytes)
1699190170.278695 sending message 111 to peer 0x7f97ba831000 (8 bytes)
1699190170.278704 sending message 101 to peer 0x7f97ba831000 (15 bytes)
1699190170.278712 sending message 109 to peer 0x7f97ba831000 (4 bytes)
1699190170.278719 sending message 102 to peer 0x7f97ba831000 (13 bytes)
1699190170.278727 sending message 108 to peer 0x7f97ba831000 (27 bytes)
1699190170.278734 sending message 112 to peer 0x7f97ba831000 (58 bytes)
1699190170.278741 sending message 112 to peer 0x7f97ba831000 (5 bytes)
1699190170.278747 sending message 112 to peer 0x7f97ba831000 (5 bytes)
1699190170.278754 sending message 112 to peer 0x7f97ba831000 (6 bytes)
1699190170.278761 sending message 112 to peer 0x7f97ba831000 (6 bytes)
1699190170.278767 sending message 112 to peer 0x7f97ba831000 (11 bytes)
1699190170.278774 sending message 112 to peer 0x7f97ba831000 (10 bytes)
1699190170.278780 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.278787 sending message 112 to peer 0x7f97ba831000 (14 bytes)
1699190170.278794 sending message 112 to peer 0x7f97ba831000 (19 bytes)
1699190170.278800 sending message 112 to peer 0x7f97ba831000 (11 bytes)
1699190170.278807 sending message 112 to peer 0x7f97ba831000 (10 bytes)
1699190170.278814 sending message 112 to peer 0x7f97ba831000 (15 bytes)
1699190170.278820 sending message 112 to peer 0x7f97ba831000 (21 bytes)
1699190170.278827 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.278833 sending message 112 to peer 0x7f97ba831000 (7 bytes)
1699190170.278840 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.278847 sending message 112 to peer 0x7f97ba831000 (7 bytes)
1699190170.278853 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.278860 sending message 112 to peer 0x7f97ba831000 (9 bytes)
1699190170.278867 sending message 112 to peer 0x7f97ba831000 (21 bytes)
1699190170.278874 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.278881 sending message 112 to peer 0x7f97ba831000 (9 bytes)
1699190170.278887 sending message 112 to peer 0x7f97ba831000 (16 bytes)
1699190170.278894 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.278901 sending message 112 to peer 0x7f97ba831000 (9 bytes)
1699190170.278907 sending message 112 to peer 0x7f97ba831000 (9 bytes)
1699190170.278914 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.278920 sending message 112 to peer 0x7f97ba831000 (8 bytes)
1699190170.278927 sending message 112 to peer 0x7f97ba831000 (8 bytes)
1699190170.278934 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.278941 sending message 112 to peer 0x7f97ba831000 (7 bytes)
